dataset,GID_1,NAME_1,GID_2,NAME_2,POPESTIMATE2015,1km_population,pop_error,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_lived_cells,5km_lived_density,5km_gini_index,5km_arithmetic_pwd,5km_geometric_pwd,10km_lived_cells,10km_lived_density,10km_gini_index,10km_arithmetic_pwd,10km_geometric_pwd,5km_pop_error,10km_pop_error,5km_area_error,10km_area_error
ghs,USA.1_1,Alabama,USA.1.1_1,Autauga,54864.0,56498.0,3.0,1516.0,54.0,69.0,0.8873394743933433,37.0,567.0,282.0,93.0,38.0,0.7997846408882864,373.0,152.0,100.0,38.0,0.7276335472563539,216.0,112.0,0.0,0.09,0.2,2.24
gpw,USA.1_1,Alabama,USA.1.1_1,Autauga,54864.0,56394.0,3.0,1516.0,89.0,42.0,0.7924476197183293,37.0,506.0,190.0,95.0,37.0,0.7868041416002137,349.0,143.0,100.0,38.0,0.7224709260615872,210.0,110.0,0.0,0.12,0.2,2.24
worldpop,USA.1_1,Alabama,USA.1.1_1,Autauga,54864.0,55028.0,0.0,1509.0,76.0,48.0,0.8325460381583888,36.0,521.0,215.0,96.0,37.0,0.793910874551447,350.0,143.0,100.0,37.0,0.7230604247024502,205.0,107.0,0.0,0.1,0.2,2.19
landscan,USA.1_1,Alabama,USA.1.1_1,Autauga,54864.0,45377.0,17.0,1516.0,53.0,57.0,0.9072632214171596,30.0,679.0,303.0,97.0,30.0,0.8257154412016321,352.0,148.0,100.0,31.0,0.7700404962036109,210.0,110.0,0.0,0.05,0.4,2.44
ghs,USA.1_1,Alabama,USA.1.2_1,Baldwin,202939.0,201510.0,1.0,4233.0,47.0,101.0,0.8546238837073842,48.0,390.0,247.0,79.0,56.0,0.7569774428508395,200.0,135.0,88.0,51.0,0.7045464097939002,156.0,107.0,0.07,0.41,0.33,2.03
gpw,USA.1_1,Alabama,USA.1.2_1,Baldwin,202939.0,201660.0,1.0,4233.0,69.0,69.0,0.799461788946966,48.0,352.0,191.0,85.0,53.0,0.7439895844486876,196.0,129.0,89.0,50.0,0.7036513184043596,157.0,107.0,0.09,0.54,0.33,2.03
worldpop,USA.1_1,Alabama,USA.1.2_1,Baldwin,202939.0,200397.0,1.0,4228.0,63.0,75.0,0.8278991201875673,47.0,386.0,216.0,82.0,54.0,0.7542334716352477,198.0,132.0,88.0,50.0,0.703033176080469,155.0,106.0,0.08,0.52,0.33,2.08
landscan,USA.1_1,Alabama,USA.1.2_1,Baldwin,202939.0,185337.0,9.0,4229.0,52.0,84.0,0.8831823549729637,44.0,560.0,300.0,85.0,50.0,0.7848595314877432,233.0,149.0,91.0,46.0,0.7294678471918237,166.0,109.0,0.12,0.43,1.77,1.92
ghs,USA.1_1,Alabama,USA.1.3_1,Barbour,26283.0,25960.0,1.0,2293.0,32.0,35.0,0.9252473643163612,11.0,355.0,145.0,91.0,12.0,0.807570473924217,125.0,51.0,98.0,12.0,0.7252834169057372,67.0,32.0,0.91,0.91,2.66,2.66
gpw,USA.1_1,Alabama,USA.1.3_1,Barbour,26283.0,26195.0,0.0,2293.0,62.0,18.0,0.8332542631381007,11.0,255.0,80.0,97.0,12.0,0.7716196231409999,113.0,43.0,100.0,12.0,0.7055654061148277,63.0,30.0,1.04,1.04,2.66,2.66
worldpop,USA.1_1,Alabama,USA.1.3_1,Barbour,26283.0,26096.0,1.0,2287.0,42.0,26.0,0.8868530681635418,11.0,321.0,111.0,94.0,12.0,0.7960829395156804,128.0,49.0,100.0,12.0,0.7171681211143153,70.0,32.0,0.88,0.88,2.62,2.62
landscan,USA.1_1,Alabama,USA.1.3_1,Barbour,26283.0,27762.0,6.0,2293.0,30.0,40.0,0.9528117946389076,12.0,617.0,257.0,90.0,13.0,0.8530850550987775,174.0,75.0,98.0,12.0,0.7717584950303292,88.0,42.0,0.54,0.54,3.49,2.4
ghs,USA.1_1,Alabama,USA.1.4_1,Bibb,22566.0,24225.0,7.0,1600.0,40.0,38.0,0.8803300919718986,15.0,283.0,107.0,91.0,16.0,0.7162212719695471,72.0,41.0,93.0,15.0,0.6804105792532106,45.0,31.0,0.8,5.01,3.19,2.88
gpw,USA.1_1,Alabama,USA.1.4_1,Bibb,22566.0,24205.0,7.0,1600.0,72.0,21.0,0.7621005038025545,15.0,163.0,60.0,94.0,15.0,0.6793376210202944,64.0,36.0,93.0,15.0,0.6544915131014258,42.0,30.0,1.09,4.15,3.19,2.88
worldpop,USA.1_1,Alabama,USA.1.4_1,Bibb,22566.0,24070.0,7.0,1618.0,56.0,26.0,0.8242428476570657,15.0,200.0,76.0,93.0,16.0,0.7017770960965142,66.0,38.0,95.0,18.0,0.6587461689260955,46.0,35.0,0.19,10.44,1.73,26.51
landscan,USA.1_1,Alabama,USA.1.4_1,Bibb,22566.0,20599.0,9.0,1600.0,45.0,29.0,0.899598211864932,13.0,483.0,136.0,90.0,13.0,0.749898703801436,90.0,42.0,96.0,13.0,0.7170204122136562,49.0,32.0,0.55,4.39,3.38,2.75
ghs,USA.1_1,Alabama,USA.1.5_1,Blount,57526.0,59914.0,4.0,1682.0,74.0,48.0,0.7202705694736095,36.0,165.0,99.0,96.0,36.0,0.4990007122978891,72.0,50.0,94.0,37.0,0.4741730434709919,47.0,42.0,0.63,2.94,0.36,6.54
gpw,USA.1_1,Alabama,USA.1.5_1,Blount,57526.0,60096.0,4.0,1682.0,100.0,36.0,0.5096449270188317,36.0,110.0,60.0,97.0,36.0,0.4605935782198854,67.0,47.0,97.0,37.0,0.4678469157795833,46.0,42.0,0.57,3.04,0.36,6.54
worldpop,USA.1_1,Alabama,USA.1.5_1,Blount,57526.0,59827.0,4.0,1682.0,96.0,37.0,0.5908113566649149,36.0,128.0,70.0,96.0,36.0,0.4796650492490412,68.0,48.0,100.0,36.0,0.4301595632335925,46.0,41.0,0.66,14.03,0.54,16.17
landscan,USA.1_1,Alabama,USA.1.5_1,Blount,57526.0,49277.0,14.0,1682.0,75.0,39.0,0.7539598347152621,29.0,276.0,107.0,100.0,29.0,0.5483694555213359,82.0,47.0,100.0,31.0,0.511016075170282,43.0,37.0,0.66,2.1,0.95,6.48
ghs,USA.1_1,Alabama,USA.1.6_1,Bullock,10400.0,10495.0,1.0,1592.0,30.0,21.0,0.9178556982234872,7.0,280.0,98.0,85.0,7.0,0.808392537052304,66.0,29.0,94.0,7.0,0.7505199542306785,32.0,17.0,0.0,0.0,0.06,0.06
gpw,USA.1_1,Alabama,USA.1.6_1,Bullock,10400.0,10487.0,1.0,1592.0,50.0,12.0,0.8181364136123142,7.0,209.0,55.0,94.0,7.0,0.7690928026284622,63.0,26.0,97.0,7.0,0.7335865395734891,31.0,16.0,0.0,0.0,0.06,0.06
worldpop,USA.1_1,Alabama,USA.1.6_1,Bullock,10400.0,10483.0,1.0,1603.0,32.0,20.0,0.8868112784081772,7.0,261.0,76.0,84.0,7.0,0.798002708403531,65.0,27.0,97.0,7.0,0.7436143654015471,28.0,16.0,0.6,0.6,0.75,0.75
landscan,USA.1_1,Alabama,USA.1.6_1,Bullock,10400.0,10639.0,2.0,1592.0,26.0,26.0,0.9570310392184044,7.0,693.0,212.0,90.0,7.0,0.8483686797110461,101.0,46.0,100.0,7.0,0.8031133168677047,47.0,25.0,0.0,0.0,0.57,0.38
ghs,USA.1_1,Alabama,USA.1.7_1,Butler,20162.0,20002.0,1.0,1953.0,48.0,21.0,0.8708260993914896,10.0,258.0,85.0,98.0,10.0,0.7123702874664954,77.0,33.0,100.0,11.0,0.6224832618715455,57.0,26.0,1.58,4.89,1.95,8.65
gpw,USA.1_1,Alabama,USA.1.7_1,Butler,20162.0,20171.0,0.0,1953.0,69.0,15.0,0.7684388344272534,10.0,218.0,54.0,99.0,10.0,0.6879481216842351,74.0,31.0,100.0,11.0,0.6133216985079196,55.0,26.0,1.67,5.08,1.95,8.65
worldpop,USA.1_1,Alabama,USA.1.7_1,Butler,20162.0,20085.0,0.0,1934.0,57.0,18.0,0.8216705060394509,10.0,231.0,66.0,98.0,11.0,0.7026991479561785,88.0,34.0,100.0,11.0,0.6062634853337316,54.0,25.0,1.56,4.67,1.6,7.96
landscan,USA.1_1,Alabama,USA.1.7_1,Butler,20162.0,19827.0,2.0,1953.0,43.0,24.0,0.912739129071418,10.0,381.0,136.0,96.0,11.0,0.7869319361036891,120.0,50.0,100.0,11.0,0.7183394484853838,82.0,37.0,1.36,3.78,2.92,8.35
ghs,USA.1_1,Alabama,USA.1.8_1,Calhoun,115469.0,121445.0,5.0,1586.0,65.0,118.0,0.789188516298382,77.0,427.0,274.0,88.0,82.0,0.6834713086443838,221.0,154.0,94.0,77.0,0.6395730137953585,173.0,127.0,0.15,0.15,0.76,0.76
gpw,USA.1_1,Alabama,USA.1.8_1,Calhoun,115469.0,121477.0,5.0,1586.0,85.0,90.0,0.7293395709109933,77.0,396.0,224.0,92.0,80.0,0.6779463098541895,221.0,152.0,97.0,77.0,0.6368512411657877,173.0,126.0,0.19,0.19,0.76,0.76
worldpop,USA.1_1,Alabama,USA.1.8_1,Calhoun,115469.0,121220.0,5.0,1595.0,81.0,93.0,0.757059080758707,76.0,413.0,244.0,92.0,80.0,0.6821568711131307,222.0,153.0,100.0,67.0,0.6581508310006823,168.0,115.0,0.25,21.95,0.75,11.41
landscan,USA.1_1,Alabama,USA.1.8_1,Calhoun,115469.0,122865.0,6.0,1586.0,68.0,113.0,0.8331367180526419,77.0,767.0,377.0,92.0,81.0,0.7199854856667971,298.0,187.0,94.0,78.0,0.673736773756026,211.0,148.0,0.1,0.1,0.19,0.82
ghs,USA.1_1,Alabama,USA.1.9_1,Chambers,33996.0,32153.0,5.0,1537.0,51.0,41.0,0.8825109194108312,21.0,289.0,150.0,99.0,21.0,0.7268929596382204,143.0,74.0,100.0,19.0,0.6644529799734329,87.0,50.0,0.04,20.27,0.07,12.3
gpw,USA.1_1,Alabama,USA.1.9_1,Chambers,33996.0,31906.0,6.0,1537.0,81.0,25.0,0.8011643018803207,21.0,256.0,105.0,99.0,21.0,0.7059954636567514,139.0,69.0,100.0,19.0,0.6452377795431287,83.0,48.0,0.04,19.49,0.07,12.3
worldpop,USA.1_1,Alabama,USA.1.9_1,Chambers,33996.0,32081.0,6.0,1541.0,64.0,32.0,0.8458142343365077,21.0,284.0,126.0,99.0,21.0,0.7171125327491061,142.0,72.0,100.0,19.0,0.6492093204535054,82.0,48.0,0.06,20.53,0.06,12.26
landscan,USA.1_1,Alabama,USA.1.9_1,Chambers,33996.0,30976.0,9.0,1537.0,46.0,44.0,0.9149910992437116,20.0,419.0,206.0,99.0,20.0,0.7793454283026732,171.0,94.0,100.0,19.0,0.72706382132171,103.0,62.0,0.03,18.31,0.0,12.17
ghs,USA.1_1,Alabama,USA.1.10_1,Cherokee,25732.0,26780.0,4.0,1540.0,61.0,29.0,0.7543329629693737,17.0,91.0,55.0,93.0,18.0,0.5166337891791062,33.0,25.0,100.0,18.0,0.4655909689902365,25.0,21.0,0.25,0.25,0.91,0.91
gpw,USA.1_1,Alabama,USA.1.10_1,Cherokee,25732.0,26824.0,4.0,1540.0,89.0,19.0,0.5880195264542439,17.0,63.0,34.0,96.0,18.0,0.5063997744459134,32.0,24.0,100.0,18.0,0.4657379484103489,25.0,21.0,0.4,0.4,0.91,0.91
worldpop,USA.1_1,Alabama,USA.1.10_1,Cherokee,25732.0,26744.0,4.0,1528.0,83.0,21.0,0.6510338315483678,17.0,72.0,40.0,96.0,18.0,0.5135109543155346,33.0,24.0,100.0,19.0,0.4671115147724528,27.0,23.0,0.29,7.98,0.26,14.07
landscan,USA.1_1,Alabama,USA.1.10_1,Cherokee,25732.0,22904.0,11.0,1540.0,59.0,25.0,0.8130147286564278,15.0,211.0,75.0,96.0,15.0,0.6090831569881237,46.0,27.0,100.0,15.0,0.5421268257262501,27.0,21.0,0.21,0.21,0.39,0.84
ghs,USA.1_1,Alabama,USA.1.11_1,Chilton,43700.0,44976.0,3.0,1771.0,55.0,46.0,0.7928089061879113,25.0,157.0,94.0,94.0,27.0,0.5939652596596208,68.0,46.0,96.0,29.0,0.5545483206000026,57.0,42.0,0.71,6.51,4.4,17.0
gpw,USA.1_1,Alabama,USA.1.11_1,Chilton,43700.0,44904.0,3.0,1771.0,90.0,28.0,0.6300397037925309,25.0,111.0,56.0,96.0,27.0,0.5665614511990111,65.0,43.0,96.0,28.0,0.55564815337811,57.0,41.0,0.62,6.75,4.4,17.0
worldpop,USA.1_1,Alabama,USA.1.11_1,Chilton,43700.0,44882.0,3.0,1786.0,76.0,33.0,0.6960195972534818,25.0,129.0,66.0,97.0,27.0,0.5772907521932431,68.0,44.0,100.0,28.0,0.5403511140689671,57.0,41.0,0.68,6.7,4.54,17.3
landscan,USA.1_1,Alabama,USA.1.11_1,Chilton,43700.0,38787.0,11.0,1771.0,58.0,38.0,0.829048615338258,22.0,308.0,116.0,95.0,24.0,0.6565066198995875,105.0,51.0,100.0,25.0,0.5983459622890271,67.0,43.0,0.51,4.73,4.12,16.83
ghs,USA.1_1,Alabama,USA.1.12_1,Choctaw,13231.0,12733.0,4.0,2362.0,41.0,13.0,0.8430136423323926,5.0,80.0,32.0,85.0,6.0,0.6546381165283953,17.0,11.0,97.0,5.0,0.5060327209124721,9.0,7.0,3.3,3.3,4.11,4.28
gpw,USA.1_1,Alabama,USA.1.12_1,Choctaw,13231.0,12738.0,4.0,2362.0,66.0,8.0,0.6544538804646048,5.0,40.0,14.0,89.0,6.0,0.5897929200314856,15.0,9.0,97.0,5.0,0.4985710296350239,9.0,7.0,3.34,3.34,4.11,4.28
worldpop,USA.1_1,Alabama,USA.1.12_1,Choctaw,13231.0,12706.0,4.0,2358.0,42.0,12.0,0.7857255157473558,5.0,49.0,21.0,87.0,6.0,0.6335305920849023,16.0,10.0,100.0,5.0,0.4978398504277393,9.0,7.0,3.34,3.34,4.07,4.2
landscan,USA.1_1,Alabama,USA.1.12_1,Choctaw,13231.0,12953.0,2.0,2362.0,37.0,15.0,0.8965174330316937,5.0,199.0,58.0,88.0,6.0,0.7164826557996445,32.0,15.0,97.0,6.0,0.5611568440111108,13.0,9.0,2.62,2.62,4.61,4.23
ghs,USA.1_1,Alabama,USA.1.13_1,Clarke,24698.0,24390.0,1.0,3197.0,37.0,20.0,0.8974537115346999,8.0,174.0,74.0,84.0,8.0,0.7802542298413421,59.0,27.0,96.0,8.0,0.7120773286247557,29.0,17.0,0.0,0.0,0.0,0.94
gpw,USA.1_1,Alabama,USA.1.13_1,Clarke,24698.0,24488.0,1.0,3197.0,58.0,13.0,0.7856169226478898,8.0,115.0,37.0,90.0,8.0,0.7431727256240539,57.0,24.0,95.0,8.0,0.700321320794352,29.0,17.0,0.0,0.0,0.0,0.94
worldpop,USA.1_1,Alabama,USA.1.13_1,Clarke,24698.0,24562.0,1.0,3233.0,39.0,19.0,0.8580040612515318,8.0,136.0,51.0,87.0,8.0,0.7744421484568195,61.0,26.0,91.0,8.0,0.7053946763030483,29.0,17.0,0.0,0.02,0.15,1.27
landscan,USA.1_1,Alabama,USA.1.13_1,Clarke,24698.0,25098.0,2.0,3197.0,34.0,23.0,0.9348437994393226,8.0,400.0,136.0,82.0,9.0,0.8327403174635395,87.0,40.0,86.0,8.0,0.7774618231601614,44.0,24.0,0.0,0.0,0.78,0.78
ghs,USA.1_1,Alabama,USA.1.14_1,Clay,13415.0,13434.0,0.0,1530.0,55.0,16.0,0.8008897549621957,9.0,101.0,40.0,93.0,9.0,0.6232473983208756,30.0,18.0,95.0,10.0,0.5572632886340647,18.0,14.0,7.07,15.7,7.91,21.96
gpw,USA.1_1,Alabama,USA.1.14_1,Clay,13415.0,13389.0,0.0,1530.0,76.0,11.0,0.6543968753111706,9.0,71.0,24.0,98.0,9.0,0.5986017055575199,28.0,17.0,100.0,9.0,0.5600487848016104,18.0,14.0,7.01,15.53,7.91,21.96
worldpop,USA.1_1,Alabama,USA.1.14_1,Clay,13415.0,13401.0,0.0,1532.0,60.0,14.0,0.7420041965856784,9.0,84.0,30.0,94.0,9.0,0.6099719700342536,29.0,17.0,100.0,9.0,0.5674334595715214,18.0,14.0,7.36,16.11,8.09,22.13
landscan,USA.1_1,Alabama,USA.1.14_1,Clay,13415.0,13187.0,2.0,1530.0,55.0,16.0,0.8533275929450677,9.0,450.0,84.0,97.0,9.0,0.7253421781042437,58.0,27.0,100.0,10.0,0.6826586385374227,33.0,21.0,5.4,11.21,7.39,21.9
ghs,USA.1_1,Alabama,USA.1.15_1,Cleburne,14914.0,15350.0,3.0,1449.0,44.0,24.0,0.8310380065798032,11.0,101.0,51.0,82.0,12.0,0.6473236551680157,37.0,22.0,83.0,11.0,0.6042034370276128,21.0,16.0,2.48,21.21,3.31,18.43
gpw,USA.1_1,Alabama,USA.1.15_1,Cleburne,14914.0,15357.0,3.0,1449.0,66.0,16.0,0.6881738724536912,11.0,71.0,29.0,93.0,11.0,0.619865815536462,34.0,20.0,96.0,10.0,0.5900053382705301,21.0,15.0,2.08,20.79,3.31,18.43
worldpop,USA.1_1,Alabama,USA.1.15_1,Cleburne,14914.0,15245.0,2.0,1436.0,56.0,19.0,0.7447099274898658,11.0,83.0,35.0,89.0,11.0,0.6240842567724791,37.0,21.0,100.0,10.0,0.5619476009014046,21.0,16.0,1.84,20.51,3.06,18.38
landscan,USA.1_1,Alabama,USA.1.15_1,Cleburne,14914.0,13161.0,12.0,1449.0,42.0,22.0,0.872787074108251,9.0,249.0,74.0,88.0,10.0,0.7183559040438989,56.0,25.0,96.0,9.0,0.6616681803439434,25.0,16.0,1.96,22.89,2.48,18.5
ghs,USA.1_1,Alabama,USA.1.16_1,Coffee,50963.0,52461.0,3.0,1730.0,64.0,47.0,0.8600258396446063,30.0,413.0,194.0,100.0,28.0,0.6944503493573262,213.0,90.0,100.0,18.0,0.4986031390416468,44.0,29.0,14.03,50.3,7.46,18.03
gpw,USA.1_1,Alabama,USA.1.16_1,Coffee,50963.0,52438.0,3.0,1730.0,92.0,33.0,0.7592093137441949,30.0,384.0,140.0,100.0,28.0,0.6798095453835039,203.0,86.0,100.0,18.0,0.4933924725849214,44.0,29.0,14.77,50.67,7.46,18.03
worldpop,USA.1_1,Alabama,USA.1.16_1,Coffee,50963.0,52145.0,2.0,1728.0,85.0,35.0,0.8034747564762036,30.0,409.0,159.0,100.0,28.0,0.6875397609835164,208.0,87.0,100.0,18.0,0.4907553079698645,41.0,28.0,15.19,51.62,7.35,17.94
landscan,USA.1_1,Alabama,USA.1.16_1,Coffee,50963.0,48468.0,5.0,1730.0,61.0,46.0,0.8918380974353133,28.0,586.0,257.0,100.0,27.0,0.7727105718629167,284.0,123.0,100.0,15.0,0.5637188939572609,41.0,27.0,12.05,55.23,8.73,18.03
ghs,USA.1_1,Alabama,USA.1.17_1,Colbert,54417.0,53631.0,1.0,1608.0,46.0,72.0,0.8780267706578653,33.0,396.0,218.0,88.0,36.0,0.7776928391583423,243.0,115.0,93.0,34.0,0.7179496809032799,202.0,97.0,0.0,1.23,0.0,3.11
gpw,USA.1_1,Alabama,USA.1.17_1,Colbert,54417.0,53547.0,2.0,1608.0,75.0,44.0,0.8044215663306529,33.0,379.0,161.0,94.0,34.0,0.7637291022013779,241.0,111.0,97.0,34.0,0.7132225864578338,200.0,95.0,0.0,1.41,0.0,3.11
worldpop,USA.1_1,Alabama,USA.1.17_1,Colbert,54417.0,53490.0,2.0,1589.0,68.0,49.0,0.8310247998013639,34.0,391.0,178.0,94.0,34.0,0.7664529178233779,240.0,112.0,100.0,34.0,0.7054121028939269,201.0,96.0,0.04,1.47,1.01,2.14
landscan,USA.1_1,Alabama,USA.1.17_1,Colbert,54417.0,55263.0,2.0,1608.0,47.0,73.0,0.9018193470494964,34.0,550.0,290.0,89.0,36.0,0.8040218120392301,304.0,140.0,93.0,35.0,0.7546835777114238,253.0,120.0,0.0,0.82,1.87,3.3
ghs,USA.1_1,Alabama,USA.1.18_1,Conecuh,12678.0,12807.0,1.0,2226.0,37.0,15.0,0.8678549116842239,6.0,115.0,41.0,94.0,6.0,0.6576940880741113,49.0,15.0,92.0,6.0,0.6020353726978748,21.0,11.0,0.05,0.42,0.81,2.16
gpw,USA.1_1,Alabama,USA.1.18_1,Conecuh,12678.0,12809.0,1.0,2226.0,67.0,8.0,0.6890120608597201,6.0,93.0,21.0,98.0,6.0,0.6151859542662074,43.0,14.0,95.0,6.0,0.5906498969838602,20.0,10.0,0.05,0.44,0.81,2.16
worldpop,USA.1_1,Alabama,USA.1.18_1,Conecuh,12678.0,12786.0,1.0,2230.0,51.0,11.0,0.7755210928876232,6.0,107.0,27.0,97.0,6.0,0.6389380832845212,49.0,15.0,92.0,6.0,0.5983386567234721,21.0,11.0,0.04,0.41,0.85,2.2
landscan,USA.1_1,Alabama,USA.1.18_1,Conecuh,12678.0,12869.0,2.0,2226.0,37.0,16.0,0.9127031850285192,6.0,249.0,78.0,94.0,6.0,0.7535939070031555,105.0,27.0,95.0,6.0,0.7103099203518735,41.0,17.0,0.0,0.21,1.75,2.11
ghs,USA.1_1,Alabama,USA.1.19_1,Coosa,10934.0,10970.0,0.0,1688.0,40.0,16.0,0.857681429907525,6.0,88.0,40.0,94.0,6.0,0.6596413462503239,19.0,13.0,100.0,6.0,0.5646483459735023,14.0,10.0,7.86,7.86,3.61,3.61
gpw,USA.1_1,Alabama,USA.1.19_1,Coosa,10934.0,10970.0,0.0,1688.0,60.0,11.0,0.7191623193961502,6.0,44.0,19.0,95.0,7.0,0.6133960924464099,18.0,12.0,100.0,6.0,0.5538438450385591,14.0,10.0,5.0,5.0,3.61,3.61
worldpop,USA.1_1,Alabama,USA.1.19_1,Coosa,10934.0,10902.0,0.0,1684.0,43.0,14.0,0.7998637453828991,6.0,57.0,27.0,93.0,7.0,0.6374957482357118,19.0,13.0,100.0,6.0,0.5593946465874562,14.0,10.0,5.9,5.9,3.56,3.56
landscan,USA.1_1,Alabama,USA.1.19_1,Coosa,10934.0,9908.0,9.0,1688.0,41.0,14.0,0.8847347752014968,6.0,205.0,56.0,93.0,6.0,0.7045000934116736,23.0,14.0,100.0,6.0,0.5976677727026841,13.0,10.0,8.76,8.76,3.38,3.32
ghs,USA.1_1,Alabama,USA.1.20_1,Covington,37556.0,36964.0,2.0,2676.0,55.0,25.0,0.8445621270662957,14.0,203.0,83.0,99.0,14.0,0.6993481774076087,83.0,38.0,100.0,14.0,0.6468936558207911,53.0,30.0,7.23,7.23,6.39,6.39
gpw,USA.1_1,Alabama,USA.1.20_1,Covington,37556.0,37030.0,1.0,2676.0,76.0,18.0,0.7525482937507663,14.0,174.0,57.0,100.0,14.0,0.6857710147216228,80.0,37.0,100.0,14.0,0.6406421307733846,53.0,30.0,7.3,7.3,6.39,6.39
worldpop,USA.1_1,Alabama,USA.1.20_1,Covington,37556.0,36938.0,2.0,2675.0,65.0,21.0,0.7922880126632307,14.0,185.0,66.0,100.0,14.0,0.6962932264030725,83.0,38.0,100.0,14.0,0.6476969570452079,53.0,30.0,7.59,7.59,6.39,6.39
landscan,USA.1_1,Alabama,USA.1.20_1,Covington,37556.0,36671.0,2.0,2676.0,49.0,28.0,0.8968991755459848,14.0,351.0,138.0,98.0,14.0,0.7740523916092618,116.0,54.0,100.0,14.0,0.7221170966189114,80.0,40.0,7.77,7.77,7.77,6.58
ghs,USA.1_1,Alabama,USA.1.21_1,Crenshaw,13850.0,13908.0,0.0,1567.0,60.0,14.0,0.788520384471781,9.0,124.0,42.0,99.0,9.0,0.5603133932056586,29.0,16.0,100.0,9.0,0.4737444200787053,15.0,12.0,0.79,0.79,2.43,2.43
gpw,USA.1_1,Alabama,USA.1.21_1,Crenshaw,13850.0,13904.0,0.0,1567.0,87.0,10.0,0.5986707214286097,9.0,83.0,22.0,99.0,9.0,0.5051405075224349,25.0,14.0,100.0,9.0,0.4613287945919897,14.0,11.0,1.01,1.01,2.43,2.43
worldpop,USA.1_1,Alabama,USA.1.21_1,Crenshaw,13850.0,13818.0,0.0,1551.0,67.0,13.0,0.7230093262026079,9.0,103.0,31.0,98.0,9.0,0.5528478054261177,28.0,16.0,100.0,9.0,0.4774652166668619,14.0,12.0,1.09,1.09,2.45,2.45
landscan,USA.1_1,Alabama,USA.1.21_1,Crenshaw,13850.0,12542.0,9.0,1567.0,48.0,17.0,0.8831203512838364,8.0,299.0,83.0,98.0,8.0,0.6776152489633007,53.0,23.0,100.0,8.0,0.5889931907786797,19.0,13.0,0.56,0.56,3.13,2.3
ghs,USA.1_1,Alabama,USA.1.22_1,Cullman,81761.0,80600.0,1.0,1929.0,75.0,55.0,0.6904829821812957,42.0,205.0,109.0,95.0,42.0,0.5037475048292246,108.0,63.0,100.0,42.0,0.5092628060259661,81.0,57.0,0.91,0.91,1.61,1.61
gpw,USA.1_1,Alabama,USA.1.22_1,Cullman,81761.0,80651.0,1.0,1929.0,99.0,42.0,0.5233560831028414,42.0,179.0,77.0,96.0,42.0,0.4906637319934159,107.0,62.0,100.0,42.0,0.5032996500842425,80.0,57.0,0.92,0.92,1.61,1.61
worldpop,USA.1_1,Alabama,USA.1.22_1,Cullman,81761.0,80563.0,1.0,1932.0,97.0,43.0,0.5782538238321924,42.0,185.0,84.0,97.0,42.0,0.5140684548372776,96.0,61.0,100.0,42.0,0.5057149264456808,84.0,58.0,0.8,0.8,1.55,1.55
landscan,USA.1_1,Alabama,USA.1.22_1,Cullman,81761.0,78847.0,4.0,1929.0,76.0,54.0,0.7829259390996687,41.0,460.0,176.0,99.0,41.0,0.593775790510127,174.0,80.0,100.0,41.0,0.5930702796477834,112.0,68.0,0.68,0.68,0.05,1.4
ghs,USA.1_1,Alabama,USA.1.23_1,Dale,49365.0,49022.0,1.0,1408.0,60.0,58.0,0.8381629175674056,35.0,282.0,167.0,96.0,35.0,0.6470106049434031,114.0,73.0,100.0,36.0,0.5771665363552927,87.0,62.0,0.65,4.08,2.06,8.31
gpw,USA.1_1,Alabama,USA.1.23_1,Dale,49365.0,49075.0,1.0,1408.0,86.0,40.0,0.7438478019002025,35.0,222.0,114.0,98.0,35.0,0.635381921107459,109.0,71.0,100.0,37.0,0.5719212094093792,85.0,61.0,0.71,3.78,2.06,8.31
worldpop,USA.1_1,Alabama,USA.1.23_1,Dale,49365.0,49062.0,1.0,1410.0,80.0,43.0,0.788897266258456,35.0,257.0,135.0,98.0,35.0,0.6419906435553933,112.0,72.0,100.0,36.0,0.5781440031576162,87.0,62.0,0.64,3.97,2.06,8.3
landscan,USA.1_1,Alabama,USA.1.23_1,Dale,49365.0,51253.0,4.0,1408.0,58.0,62.0,0.8713594165440963,36.0,432.0,231.0,100.0,36.0,0.7102854330140079,149.0,95.0,100.0,38.0,0.6353096844315256,103.0,74.0,0.57,3.42,0.78,8.24
ghs,USA.1_1,Alabama,USA.1.24_1,Dallas,40936.0,42209.0,3.0,2567.0,33.0,49.0,0.930216407756718,16.0,493.0,219.0,88.0,18.0,0.8448632798389658,229.0,93.0,93.0,18.0,0.8184206299568144,136.0,68.0,0.06,0.65,1.64,5.14
gpw,USA.1_1,Alabama,USA.1.24_1,Dallas,40936.0,42203.0,3.0,2567.0,56.0,29.0,0.8723453936808536,16.0,464.0,152.0,94.0,17.0,0.8265059548318109,224.0,86.0,98.0,17.0,0.8109854949356002,133.0,66.0,0.06,0.64,1.64,5.14
worldpop,USA.1_1,Alabama,USA.1.24_1,Dallas,40936.0,42101.0,3.0,2564.0,43.0,38.0,0.9015315421518107,16.0,500.0,181.0,92.0,17.0,0.8350087688024417,228.0,90.0,98.0,17.0,0.8159131429162694,138.0,68.0,0.05,0.81,1.68,5.27
