dataset,GID_1,NAME_1,GID_2,NAME_2,POPESTIMATE2015,1km_population,pop_error,1km_area,1km_lived_cells,1km_lived_density,1km_gini_index,1km_density,1km_arithmetic_pwd,1km_geometric_pwd,5km_lived_cells,5km_lived_density,5km_gini_index,5km_arithmetic_pwd,5km_geometric_pwd,10km_lived_cells,10km_lived_density,10km_gini_index,10km_arithmetic_pwd,10km_geometric_pwd,5km_pop_error,10km_pop_error,5km_area_error,10km_area_error
landscan,USA.14_1,Illinois,USA.14.87_1,Scott,5110.0,4306.0,16.0,622.0,44.0,16.0,0.9127808257936336,7.0,332.0,109.0,95.0,8.0,0.7511461796880803,57.0,26.0,92.0,7.0,0.6503813524522241,18.0,13.0,0.53,0.53,5.63,3.38
ghs,USA.14_1,Illinois,USA.14.88_1,Shelby,21819.0,21566.0,1.0,1959.0,55.0,20.0,0.8471413062693494,11.0,302.0,89.0,98.0,11.0,0.659466039094164,75.0,29.0,97.0,11.0,0.570687970965372,28.0,18.0,6.46,6.46,5.41,5.41
gpw,USA.14_1,Illinois,USA.14.88_1,Shelby,21819.0,21658.0,1.0,1959.0,80.0,14.0,0.754644050518644,11.0,315.0,72.0,98.0,11.0,0.6459278403721543,74.0,29.0,97.0,11.0,0.5639862155338848,28.0,18.0,6.33,6.33,5.41,5.41
worldpop,USA.14_1,Illinois,USA.14.88_1,Shelby,21819.0,21648.0,1.0,1955.0,64.0,17.0,0.8088998881737373,11.0,322.0,83.0,98.0,11.0,0.651334223809093,73.0,29.0,100.0,11.0,0.5503118015243081,25.0,17.0,5.82,5.82,4.5,4.5
landscan,USA.14_1,Illinois,USA.14.88_1,Shelby,21819.0,18681.0,14.0,1959.0,50.0,19.0,0.909740213137522,10.0,542.0,158.0,97.0,9.0,0.7445903903053275,108.0,38.0,97.0,10.0,0.6526595548186853,34.0,20.0,5.63,5.63,3.62,5.46
ghs,USA.14_1,Illinois,USA.14.89_1,Stark,5505.0,5719.0,4.0,730.0,39.0,19.0,0.8908134362617265,8.0,273.0,93.0,100.0,8.0,0.6380509741857094,29.0,17.0,100.0,8.0,0.4479528295089288,14.0,11.0,3.46,3.46,6.3,6.3
gpw,USA.14_1,Illinois,USA.14.89_1,Stark,5505.0,5735.0,4.0,730.0,70.0,11.0,0.7710358911926947,8.0,289.0,70.0,100.0,8.0,0.6238271669935539,29.0,17.0,100.0,8.0,0.4513080862244673,14.0,11.0,3.89,3.89,6.3,6.3
worldpop,USA.14_1,Illinois,USA.14.89_1,Stark,5505.0,5722.0,4.0,730.0,53.0,14.0,0.8293141884902139,8.0,345.0,87.0,100.0,8.0,0.6326742191487071,30.0,18.0,100.0,8.0,0.4452792448606163,13.0,11.0,3.86,3.86,6.3,6.3
landscan,USA.14_1,Illinois,USA.14.89_1,Stark,5505.0,5187.0,6.0,730.0,37.0,19.0,0.9241381836192616,7.0,365.0,130.0,100.0,7.0,0.6879459493272102,34.0,19.0,100.0,7.0,0.5120706864173157,14.0,11.0,5.19,5.19,7.12,6.44
ghs,USA.14_1,Illinois,USA.14.90_1,Stephenson,45668.0,46453.0,2.0,1429.0,63.0,51.0,0.8868391022395402,33.0,846.0,329.0,100.0,33.0,0.7465204333781168,267.0,129.0,100.0,37.0,0.6941427460728332,253.0,123.0,5.08,8.47,7.42,20.5
gpw,USA.14_1,Illinois,USA.14.90_1,Stephenson,45668.0,46437.0,2.0,1429.0,97.0,33.0,0.8203611351213753,32.0,840.0,281.0,100.0,33.0,0.7409906883678367,263.0,127.0,100.0,37.0,0.6918117010492751,252.0,122.0,5.04,8.47,7.42,20.5
worldpop,USA.14_1,Illinois,USA.14.90_1,Stephenson,45668.0,46192.0,1.0,1412.0,88.0,37.0,0.8550654330106651,33.0,846.0,308.0,100.0,33.0,0.7419808529929237,263.0,124.0,100.0,37.0,0.67524415859771,232.0,113.0,4.29,7.67,5.88,19.41
landscan,USA.14_1,Illinois,USA.14.90_1,Stephenson,45668.0,46839.0,3.0,1429.0,57.0,57.0,0.9139057022371456,33.0,1169.0,453.0,100.0,34.0,0.7873138972714989,307.0,157.0,100.0,39.0,0.7318513623046738,302.0,150.0,3.65,6.31,6.3,20.78
ghs,USA.14_1,Illinois,USA.14.91_1,Tazewell,134302.0,137354.0,2.0,1671.0,61.0,134.0,0.8837459528433874,82.0,889.0,547.0,96.0,86.0,0.7704636134052963,405.0,261.0,100.0,90.0,0.6896152171068912,281.0,208.0,0.47,3.09,4.07,11.07
gpw,USA.14_1,Illinois,USA.14.91_1,Tazewell,134302.0,137301.0,2.0,1671.0,88.0,93.0,0.866712488171944,82.0,886.0,513.0,96.0,85.0,0.7686670455283059,405.0,260.0,100.0,89.0,0.6906519668146021,282.0,208.0,0.44,3.16,4.07,11.07
worldpop,USA.14_1,Illinois,USA.14.91_1,Tazewell,134302.0,136957.0,2.0,1669.0,77.0,106.0,0.878816193576729,82.0,925.0,550.0,97.0,85.0,0.7730946427816955,405.0,264.0,100.0,89.0,0.6938115070088213,286.0,211.0,0.45,3.24,3.89,11.14
landscan,USA.14_1,Illinois,USA.14.91_1,Tazewell,134302.0,133365.0,1.0,1671.0,58.0,139.0,0.9079131451644292,80.0,1097.0,672.0,97.0,84.0,0.7941533258809296,425.0,290.0,100.0,88.0,0.7198887116741393,304.0,228.0,0.31,2.52,5.39,11.19
ghs,USA.14_1,Illinois,USA.14.92_1,Union,17284.0,17446.0,1.0,1104.0,51.0,31.0,0.8659884323808495,16.0,294.0,113.0,97.0,17.0,0.7175154594655009,117.0,51.0,93.0,18.0,0.6402599999748732,53.0,35.0,3.16,6.99,9.78,19.02
gpw,USA.14_1,Illinois,USA.14.92_1,Union,17284.0,17451.0,1.0,1104.0,79.0,20.0,0.740416999774378,16.0,269.0,73.0,97.0,17.0,0.6964787205722485,114.0,48.0,93.0,18.0,0.62407353999976,51.0,34.0,3.19,7.15,9.78,19.02
worldpop,USA.14_1,Illinois,USA.14.92_1,Union,17284.0,17386.0,1.0,1099.0,69.0,23.0,0.787088971319556,16.0,295.0,86.0,97.0,17.0,0.7040829124324092,117.0,50.0,100.0,18.0,0.6063991322389541,53.0,35.0,2.94,6.97,9.83,19.11
landscan,USA.14_1,Illinois,USA.14.92_1,Union,17284.0,16214.0,6.0,1104.0,48.0,30.0,0.8990578612060814,15.0,435.0,159.0,97.0,16.0,0.7524540770817076,139.0,59.0,100.0,17.0,0.651186351989564,57.0,37.0,1.74,5.64,9.69,18.93
ghs,USA.14_1,Illinois,USA.14.93_1,Vermilion,79170.0,79596.0,1.0,2289.0,50.0,70.0,0.9163304892956756,35.0,697.0,364.0,100.0,36.0,0.8180622457282192,315.0,165.0,100.0,36.0,0.7091124158153319,153.0,95.0,1.34,1.34,0.92,0.92
gpw,USA.14_1,Illinois,USA.14.93_1,Vermilion,79170.0,79581.0,1.0,2289.0,72.0,48.0,0.8901559039000758,35.0,724.0,329.0,100.0,36.0,0.813422274032232,313.0,163.0,100.0,36.0,0.7095856543357387,154.0,96.0,1.4,1.4,0.92,0.92
worldpop,USA.14_1,Illinois,USA.14.93_1,Vermilion,79170.0,79138.0,0.0,2275.0,59.0,59.0,0.9044942176126004,35.0,745.0,358.0,100.0,35.0,0.8149286843968856,308.0,160.0,100.0,35.0,0.7172268827346879,164.0,98.0,1.09,1.09,2.07,2.07
landscan,USA.14_1,Illinois,USA.14.93_1,Vermilion,79170.0,78125.0,1.0,2289.0,44.0,78.0,0.940376158529972,34.0,912.0,490.0,100.0,36.0,0.8544230185400662,406.0,212.0,100.0,35.0,0.7517379408130442,181.0,111.0,2.05,2.05,2.93,1.0
ghs,USA.14_1,Illinois,USA.14.94_1,Wabash,11624.0,11318.0,3.0,576.0,47.0,41.0,0.902076195801628,20.0,485.0,209.0,82.0,20.0,0.8091687508788594,256.0,98.0,92.0,20.0,0.711234061463509,78.0,47.0,0.01,0.01,0.35,0.35
gpw,USA.14_1,Illinois,USA.14.94_1,Wabash,11624.0,11324.0,3.0,576.0,73.0,27.0,0.8455556451250115,20.0,489.0,175.0,86.0,20.0,0.8064744579334905,255.0,97.0,92.0,20.0,0.7163771250162797,78.0,48.0,0.01,0.01,0.35,0.35
worldpop,USA.14_1,Illinois,USA.14.94_1,Wabash,11624.0,11289.0,3.0,571.0,65.0,30.0,0.8708228986779102,20.0,512.0,196.0,87.0,20.0,0.7941717020779852,256.0,93.0,100.0,21.0,0.6409607691509299,85.0,51.0,0.0,0.97,1.58,7.36
landscan,USA.14_1,Illinois,USA.14.94_1,Wabash,11624.0,10988.0,5.0,576.0,49.0,39.0,0.9365416236586984,19.0,706.0,336.0,87.0,19.0,0.8582534478546368,354.0,154.0,92.0,19.0,0.7809778498697982,98.0,61.0,0.0,0.0,0.35,0.17
ghs,USA.14_1,Illinois,USA.14.95_1,Warren,17455.0,17199.0,1.0,1372.0,45.0,27.0,0.9116090018212796,13.0,744.0,230.0,100.0,13.0,0.7682114453182607,276.0,83.0,100.0,13.0,0.6511869714598032,88.0,40.0,1.25,1.25,5.69,5.69
gpw,USA.14_1,Illinois,USA.14.95_1,Warren,17455.0,17186.0,2.0,1372.0,73.0,17.0,0.8408327676858248,13.0,769.0,196.0,100.0,13.0,0.7602653041305035,276.0,82.0,100.0,13.0,0.646051105826473,87.0,39.0,1.09,1.09,5.69,5.69
worldpop,USA.14_1,Illinois,USA.14.95_1,Warren,17455.0,17187.0,2.0,1379.0,55.0,22.0,0.8760418629114032,12.0,791.0,215.0,100.0,13.0,0.7649200068086454,300.0,87.0,100.0,13.0,0.6498611741354258,89.0,40.0,1.48,1.48,6.09,6.09
landscan,USA.14_1,Illinois,USA.14.95_1,Warren,17455.0,17205.0,1.0,1372.0,44.0,29.0,0.9465192884735074,13.0,1087.0,378.0,100.0,13.0,0.8364138058188811,383.0,128.0,100.0,13.0,0.7134290391540343,111.0,52.0,0.6,0.6,6.78,5.32
ghs,USA.14_1,Illinois,USA.14.96_1,Washington,14262.0,14233.0,0.0,1444.0,48.0,20.0,0.8551820913048965,10.0,260.0,78.0,97.0,10.0,0.6120637675707618,62.0,23.0,100.0,10.0,0.5165199465803479,26.0,16.0,6.4,28.16,4.64,26.52
gpw,USA.14_1,Illinois,USA.14.96_1,Washington,14262.0,14280.0,0.0,1444.0,87.0,11.0,0.7028154718665048,10.0,253.0,52.0,99.0,10.0,0.5930370434423038,61.0,22.0,100.0,10.0,0.5036207641862046,25.0,16.0,6.69,28.28,4.64,26.52
